Member_number,Date,itemDescription,
1.61905E+12,10/22/2012,citrus fruit,
1.67903E+12,10/3/2010,tropical fruit,
1.63404E+12,7/7/2011,whole milk,
1.65602E+12,3/13/2010,pip fruit,
1.61201E+12,9/7/2013,other vegetables,
1.66004E+12,6/6/2010,whole milk,
1.63406E+12,2/15/2014,abrasive cleaner,
1.61607E+12,12/30/2012,rolls/buns,
1.65505E+12,10/24/2011,other vegetables,
1.61511E+12,12/15/2011,liquor (appetizer),
1.65111E+12,11/15/2013,pot plants,
1.65903E+12,12/17/2012,whole milk,
1.60604E+12,8/19/2010,tropical fruit,
1.62609E+12,7/20/2010,chocolate,
1.68908E+12,4/10/2013,citrus fruit,
1.64004E+12,3/5/2014,curd,
1.63005E+12,10/22/2012,dishes,
1.68102E+12,5/31/2013,beef,
1.62705E+12,8/16/2014,frankfurter,
1.64706E+12,6/19/2013,chicken,
1.61201E+12,9/7/2013,butter,
1.61103E+12,12/3/2012,fruit/vegetable juice,
1.65701E+12,10/9/2013,packaged fruit/vegetables,
1.64004E+12,3/5/2014,chocolate,
1.61607E+12,12/30/2012,specialty bar,
1.61607E+12,12/30/2012,other vegetables,
1.62705E+12,8/16/2014,butter milk,
1.62604E+12,1/17/2010,whole milk,
1.65111E+12,11/15/2013,tropical fruit,
1.64706E+12,6/19/2013,newspapers,
1.63005E+12,10/22/2012,tropical fruit,
1.68102E+12,5/31/2013,rolls/buns,
1.6851E+12,8/4/2010,waffles,
1.63005E+12,10/22/2012,bottled water,
1.65601E+12,3/11/2010,yogurt,
1.65111E+12,11/15/2013,sausage,
1.68808E+12,10/20/2010,other vegetables,
1.61708E+12,11/23/2014,brown bread,
1.69201E+12,1/30/2011,newspapers,
1.65505E+12,10/24/2011,yogurt,
1.67005E+12,10/25/2012,hamburger meat,
1.67712E+12,10/28/2010,bottled water,
1.66807E+12,2/5/2013,root vegetables,
1.60404E+12,8/9/2012,sugar,
1.62409E+12,2/7/2014,pork,
1.64009E+12,1/28/2011,whipped/sour cream,
1.61504E+12,8/1/2011,beef,
1.60904E+12,8/1/2014,pastry,
1.60403E+12,10/12/2013,fruit/vegetable juice,
1.65505E+12,10/24/2011,canned beer,
1.61807E+12,5/29/2012,root vegetables,
1.68103E+12,3/25/2013,citrus fruit,
1.64912E+12,7/16/2010,sausage,
1.61202E+12,6/3/2011,specialty bar,
1.68908E+12,4/10/2013,tropical fruit,
1.60303E+12,5/23/2014,domestic eggs,
1.65706E+12,1/9/2012,cereals,
1.61607E+12,12/30/2012,candy,
1.63403E+12,5/26/2013,berries,
1.63608E+12,11/30/2010,canned beer,
1.60607E+12,11/11/2013,butter milk,
1.61402E+12,12/2/2014,rolls/buns,
1.67904E+12,5/23/2013,coffee,
1.67506E+12,5/13/2010,pastry,
1.61003E+12,10/13/2014,rolls/buns,
1.65111E+12,11/15/2013,misc. beverages,
1.64707E+12,5/12/2014,root vegetables,
1.69609E+12,11/23/2013,whipped/sour cream,
1.63005E+12,10/22/2012,bottled water,
1.65701E+12,1/13/2012,sausage,
1.62506E+12,1/3/2010,canned beer,
1.6591E+12,5/12/2014,ham,
1.67311E+12,3/17/2012,turkey,
1.61201E+12,9/7/2013,domestic eggs,
1.69706E+12,6/30/2014,baking powder,
1.69306E+12,1/18/2013,whole milk,
1.67608E+12,1/22/2012,soda,
1.65107E+12,9/17/2010,whole milk,
1.63507E+12,1/23/2012,packaged fruit/vegetables,
1.65701E+12,10/9/2013,rolls/buns,
1.62604E+12,1/17/2010,chocolate marshmallow,
1.65505E+12,10/24/2011,ham,
1.67203E+12,2/27/2012,rolls/buns,
1.63002E+12,3/15/2013,rolls/buns,
1.68603E+12,10/17/2010,other vegetables,
1.64311E+12,12/2/2013,salty snack,
1.61907E+12,6/2/2012,sausage,
1.63501E+12,4/5/2013,sausage,
1.62111E+12,11/24/2013,frankfurter,
1.6851E+12,8/4/2010,sugar,
1.61504E+12,3/17/2013,rolls/buns,
1.61607E+12,12/30/2012,whole milk,
1.60803E+12,6/6/2014,curd cheese,
1.67409E+12,4/6/2013,red/blush wine,
1.6391E+12,2/13/2013,sausage,
1.68407E+12,11/2/2011,tropical fruit,
1.65202E+12,4/2/2014,frozen potato products,
1.63309E+12,9/8/2011,red/blush wine,
1.69707E+12,7/14/2010,whole milk,
1.6381E+12,2/17/2011,specialty chocolate,
1.69801E+12,7/30/2011,frankfurter,
1.66212E+12,11/14/2011,oil,
1.62805E+12,12/16/2012,whole milk,
1.61511E+12,12/15/2011,frozen potato products,
1.61708E+12,11/23/2014,other vegetables,
1.63202E+12,10/29/2013,citrus fruit,
1.60911E+12,5/3/2011,pastry,
1.65601E+12,3/11/2010,flour,
1.60311E+12,1/5/2011,bottled beer,
1.69111E+12,11/24/2010,sugar,
1.61708E+12,11/23/2014,frozen meals,
1.64004E+12,3/27/2010,chocolate,
1.66902E+12,7/14/2014,root vegetables,
1.6851E+12,8/4/2010,rolls/buns,
1.68501E+12,8/23/2014,fruit/vegetable juice,
1.60302E+12,3/21/2010,root vegetables,
1.68001E+12,8/11/2013,herbs,
1.61708E+12,11/23/2014,oil,
1.62212E+12,7/20/2011,bottled water,
1.63812E+12,4/7/2010,sausage,
1.67812E+12,10/2/2013,rolls/buns,
1.68808E+12,10/20/2010,coffee,
1.64603E+12,6/30/2013,pork,
1.62604E+12,1/17/2010,berries,
1.65701E+12,10/9/2013,soda,
1.65601E+12,3/11/2010,berries,
1.64703E+12,9/24/2013,fruit/vegetable juice,
1.69103E+12,12/19/2012,citrus fruit,
1.61607E+12,12/30/2012,pork,
1.63504E+12,9/10/2012,onions,
1.62604E+12,1/17/2010,chocolate,
1.65601E+12,3/11/2010,detergent,
1.64809E+12,12/8/2012,grapes,
1.65702E+12,1/11/2014,sausage,
1.64203E+12,2/5/2013,fruit/vegetable juice,
1.65903E+12,12/17/2012,shopping bags,
1.63101E+12,3/29/2014,chicken,
1.63707E+12,12/26/2014,root vegetables,
1.68812E+12,12/20/2014,oil,
1.61809E+12,10/5/2011,whole milk,
1.65404E+12,3/29/2011,citrus fruit,
1.69201E+12,1/30/2011,soda,
1.60604E+12,8/19/2010,sausage,
1.64905E+12,6/6/2013,rolls/buns,
1.61511E+12,12/15/2011,bathroom cleaner,
1.62609E+12,7/20/2010,frankfurter,
1.68907E+12,6/22/2013,sausage,
1.6891E+12,9/2/2010,fruit/vegetable juice,
1.64204E+12,7/19/2013,photo/film,
1.62503E+12,12/25/2012,soda,
1.67011E+12,1/25/2011,rolls/buns,
1.68908E+12,4/10/2013,beef,
1.61607E+12,12/30/2012,brown bread,
1.68401E+12,9/12/2014,whole milk,
1.60412E+12,8/27/2014,waffles,
1.62609E+12,7/20/2010,processed cheese,
1.62806E+12,12/13/2013,tropical fruit,
1.63712E+12,8/14/2013,frankfurter,
1.64608E+12,7/3/2013,rolls/buns,
1.60101E+12,4/18/2012,chewing gum,
1.62711E+12,7/30/2011,packaged fruit/vegetables,
1.65701E+12,10/9/2013,whole milk,
1.64405E+12,6/19/2014,margarine,
1.66709E+12,7/25/2012,berries,
1.61103E+12,12/3/2012,citrus fruit,
1.61211E+12,9/11/2011,tropical fruit,
1.61905E+12,8/14/2011,hamburger meat,
1.63604E+12,7/8/2011,bottled beer,
1.66101E+12,8/17/2013,hamburger meat,
1.66612E+12,3/2/2010,domestic eggs,
1.67803E+12,9/9/2014,whole milk,
1.66005E+12,6/10/2014,fish,
1.60502E+12,8/20/2013,coffee,
1.67508E+12,6/8/2014,frankfurter,
1.69201E+12,1/30/2011,packaged fruit/vegetables,
1.65703E+12,2/13/2014,pastry,
1.62304E+12,5/15/2012,other vegetables,
1.62911E+12,2/14/2014,misc. beverages,
1.62902E+12,9/27/2013,frankfurter,
1.69006E+12,11/6/2010,pip fruit,
1.64305E+12,12/31/2010,domestic eggs,
1.66812E+12,11/19/2013,misc. beverages,
1.68411E+12,5/18/2010,sparkling wine,
1.6991E+12,4/25/2010,specialty bar,
1.62803E+12,10/17/2012,sausage,
1.69201E+12,8/10/2014,curd cheese,
1.65306E+12,9/13/2013,frankfurter,
1.64412E+12,10/14/2011,whole milk,
1.64907E+12,10/30/2011,shopping bags,
1.60003E+12,7/11/2014,newspapers,
1.62901E+12,11/4/2011,berries,
1.6721E+12,5/30/2011,curd,
1.60907E+12,10/23/2014,tropical fruit,
1.65011E+12,9/10/2012,soda,
1.60808E+12,8/9/2012,rolls/buns,
1.69202E+12,11/15/2013,canned beer,
1.64705E+12,4/20/2011,canned beer,
1.61103E+12,12/3/2012,frankfurter,
1.67204E+12,6/27/2012,margarine,
1.68106E+12,10/26/2014,other vegetables,
1.68512E+12,3/23/2010,whole milk,
1.69201E+12,1/30/2011,whole milk,
1.64405E+12,11/25/2012,citrus fruit,
