Property_ID,Listing_Date,City,Locality,Property_Type,BHK,Built_Up_Area_sqft,Carpet_Area_sqft,Age_Years,Floor,Total_Floors,Bathrooms,Parking_Spaces,Furnishing_Status,Facing,Gated_Community,Distance_to_Metro_km,Distance_to_CBD_km,Nearby_Schools,Crime_Index,Amenities_Score,Monthly_Maintenance_INR,Seller_Type,Loan_Available,Annual_Property_Tax_INR,Price_Lakhs
PROP-10001,2026-03-09,Pune,Hinjewadi,Villa,3,1633.0,1328.1,12,Ground,4,2,0,Unfurnished,North-East,Yes,6.31,23.12,8,26.7,8.3,4860,Broker,Yes,32800,134.64
PROP-10002,2025-10-12,Bengaluru,Whitefield,Apartment,2,1443.3,1070.8,9,6,8,1,1,,North-East,No,5.78,10.55,1,50.0,7.1,4350,Builder,Yes,34800,115.27
PROP-10003,2026-08-04,Delhi NCR,Noida,Apartment,2,1002.7,798.8,28,8,11,2,1,Semi-Furnished,South-East,Yes,,19.59,12,43.9,5.8,2120,Builder,Yes,25900,51.32
PROP-10004,2025-09-15,Bengaluru,Marathahalli,Apartment,2,1303.4,1061.1,0,11,26,2,3,Unfurnished,West,Yes,3.47,16.73,10,44.2,8.8,5330,Owner,Yes,45000,144.92
PROP-10005,2026-07-07,Delhi NCR,Gurugram,Villa,3,1898.5,1553.6,0,3rd,3,2,3,Furnished,East,no,5.09,5.19,1,51.3,4.5,8040,Owner,Yes,77200,216.85
PROP-10006,2025-07-25,Pune,Baner,Apartment,4,1784.7,1495.9,43,Ground,6,4,2,Furnished,North-East,No,2.34,19.0,8,55.1,6.9,7360,Broker,No,59300,106.68
PROP-10007,2026-04-30,Bengaluru,HSR Layout,Apartment,3,1694.2,1255.2,13,7,15,2,0,Semi-Furnished,South,Yes,7.7,14.73,8,43.8,10,4660,Builder,No,63400,120.01
PROP-10008,2025-04-06,Hyderabad,Kukatpally,Apartment,2,1082.7,904.5,20,3,4,1,1,Unfurnished,West,Yes,6.4,16.67,1,58.3,3.5,4250,Builder,No,41200,64.3
PROP-10009,2026-05-30,Delhi NCR,Noida,Apartment,3,1947.1,1381.7,37,14,17,3,1,Furnished,North-East,Yes,2.67,13.88,3,62.6,6.7,7590,Broker,Yes,69800,111.21
PROP-10010,2025-01-10,Bengaluru,Electronic City,Apartment,1,12727.8,536.3,0,Ground,3,1,2,Semi-Furnished,East,No,9.27,16.65,3,66.4,5.6,2740,Owner,No,30700,63.31
PROP-10011,2025-04-20,Delhi NCR,Gurugram,Apartment,2,1008.1,845.3,28,9,24,2,1,,East,Yes,9.59,12.68,0,32.0,5.0,5300,Builder,Yes,27500,59.18
PROP-10012,2025-06-02,Hyderabad,Madhapur,Apartment,3,1738.1,1264.5,0,5,6,3,2,,East,No,5.32,9.95,11,32.5,2.8,6890,,No,60100,138.81
PROP-10013,2025-07-03,Delhi NCR,Ghaziabad,Apartment,2,1223.8,1037.8,11,2nd,3,2,2,Semi-Furnished,North-East,No,0.98,18.91,2,52.5,5.0,3140,Broker,Yes,38200,95.71
PROP-10014,2025-01-29,Chennai,Velachery,Apartment,3,2110.8,1476.4,20,11,30,3,2,Furnished,South,Yes,0.2,15.68,1,55.4,8.8,8960,Owner,No,62600,144.43
PROP-10015,2025-12-05,Delhi NCR,Noida,Apartment,5,3706.7,2751.2,12,19,28,6,0,Furnished,South,Yes,4.75,13.11,12,17.2,6.4,17040,Owner,Yes,81700,268.43
PROP-10016,2025-06-23,Delhi NCR,Ghaziabad,Apartment,2,966.6,727.3,8,21,25,2,1,Unfurnished,North-East,No,6.45,11.9,12,,3.1,3510,Owner,Yes,31800,71.09
PROP-10017,2025-04-20,Bengaluru,Yelahanka,Apartment,4,2204.2,1588.0,0,Ground,2,4,3,Semi-Furnished,North,Yes,8.06,7.49,11,35.8,5.0,6290,Owner,Yes,93700,205.32
PROP-10018,2026-05-12,Chennai,Anna Nagar,Apartment,2,1384.8,1153.1,0,14,21,3,2,Furnished,West,No,6.4,1.0,11,31.9,7.1,6410,Broker,Yes,48700,120.8
PROP-10019,2025-12-27,Hyderabad,Gachibowli,Villa,3,1247.0,,24,1,4,2,1,Unfurnished,West,Yes,5.72,20.54,12,20.7,5.6,6230,Broker,Yes,22600,73.05
PROP-10020,2026-01-24,Delhi NCR,Ghaziabad,Villa,4,2732.2,2154.6,10,1st,1,4,2,Furnished,South,No,7.08,1.0,9,34.6,5.3,11610,Builder,Yes,58800,266.43
PROP-10021,2025-09-20,Bengaluru,HSR Layout,Villa,3,1556.7,1129.2,0,Ground,1,3,1,Unfurnished,South-East,Yes,7.24,14.52,0,,6.2,5690,Builder,No,53600,171.5
PROP-10022,2026-01-15,Chennai,OMR,Villa,3,1881.7,1384.9,0,3,4,3,0,Semi-Furnished,South-East,Yes,1.2,11.57,10,29.2,6.4,10240,Broker,Yes,51100,163.46
PROP-10023,2026-04-21,Pune,Hinjewadi,Independent House,4,2994.3,2378.7,22,1st,2,5,3,Unfurnished,North-East,No,0.2,16.36,9,38.4,9.6,14690,Builder,No,65700,210.2
PROP-10024,2025-09-07,Bengaluru,HSR Layout,Apartment,2,901.0,742.0,0,17,18,1,1,Unfurnished,South,No,10.53,1.74,11,43.9,2.6,3220,Builder,Yes,29500,79.75
